m/s²,1580259825000,0.04
m/s²,1580259855000,0.03
m/s²,1580260170000,0.04
m/s²,1580260185000,0.03
m/s²,1580260290000,0.04
m/s²,1580260305000,0.03
m/s²,1580260470000,0.04
m/s²,1580260485000,0.03
m/s²,1580260905000,0.04
m/s²,1580260935000,0.03
m/s²,1580261070000,0.04
m/s²,1580261085000,0.03
m/s²,1580261250000,0.04
m/s²,1580261280000,0.03
m/s²,1580263905000,0.04
m/s²,1580263920000,0.03
m/s²,1580263980000,0.04
m/s²,1580263995000,0.03
m/s²,1580264100000,0.03
m/s²,1580264535000,0.03
m/s²,1580264580000,0.03
m/s²,1580264820000,0.12
m/s²,1580264835000,0.07
m/s²,1580264865000,0.42
m/s²,1580264880000,0.14
m/s²,1580264895000,0.15
m/s²,1580264925000,0.11
m/s²,1580264955000,0.14
m/s²,1580264985000,0.16
m/s²,1580265000000,0.1
m/s²,1580265045000,0.09
m/s²,1580265060000,0.12
m/s²,1580265075000,0.1
m/s²,1580265105000,0.14
m/s²,1580265120000,0.18
m/s²,1580265165000,0.17
m/s²,1580265180000,0.19
m/s²,1580265210000,0.18
m/s²,1580265240000,0.42
m/s²,1580265270000,0.05
m/s²,1580265285000,0.04
m/s²,1580265480000,0.05
m/s²,1580265510000,0.04
m/s²,1580265540000,0.09
m/s²,1580265570000,0.05
m/s²,1580265585000,0.04
m/s²,1580265600000,0.05
m/s²,1580265630000,0.04
m/s²,1580265780000,0.05
m/s²,1580265810000,0.04
m/s²,1580266350000,0.05
m/s²,1580266365000,0.04
m/s²,1580266665000,0.05
m/s²,1580266710000,0.04
m/s²,1580266740000,0.05
m/s²,1580266770000,0.04
m/s²,1580266905000,0.05
m/s²,1580266920000,0.04
m/s²,1580266950000,0.05
m/s²,1580266965000,0.04
m/s²,1580266980000,0.05
m/s²,1580267010000,0.04
m/s²,1580267040000,0.05
m/s²,1580267070000,0.04
m/s²,1580267085000,0.05
m/s²,1580267100000,0.04
m/s²,1580267130000,0.05
m/s²,1580267145000,0.04
m/s²,1580267235000,0.05
m/s²,1580267310000,0.04
m/s²,1580267325000,0.05
m/s²,1580267415000,0.04
m/s²,1580267430000,0.05
m/s²,1580267505000,0.04
m/s²,1580267565000,0.05
m/s²,1580267655000,0.04
m/s²,1580267670000,0.05
m/s²,1580267685000,0.04
m/s²,1580267715000,0.05
m/s²,1580267745000,0.04
m/s²,1580267775000,0.05
m/s²,1580267850000,0.04
m/s²,1580267865000,0.05
m/s²,1580267925000,0.04
m/s²,1580268015000,0.05
m/s²,1580268030000,0.04
m/s²,1580268045000,0.05
m/s²,1580268090000,0.04
m/s²,1580268105000,0.05
m/s²,1580268135000,0.06
m/s²,1580268150000,0.08
m/s²,1580268195000,0.05
m/s²,1580268210000,0.08
m/s²,1580268225000,0.06
m/s²,1580268255000,0.04
m/s²,1580268270000,0.05
m/s²,1580268285000,0.09
m/s²,1580268315000,0.1
m/s²,1580268330000,0.08
m/s²,1580268390000,0.07
m/s²,1580268405000,0.06
m/s²,1580268450000,0.07
m/s²,1580268465000,0.06
m/s²,1580268510000,0.05
m/s²,1580268555000,0.06
m/s²,1580268615000,0.08
m/s²,1580268630000,0.06
m/s²,1580268645000,0.07
m/s²,1580268675000,0.06
m/s²,1580268690000,0.05
m/s²,1580268735000,0.07
m/s²,1580268750000,0.05
m/s²,1580268765000,0.07
m/s²,1580268795000,0.05
m/s²,1580268825000,0.07
m/s²,1580268855000,0.05
m/s²,1580268870000,0.06
m/s²,1580268885000,0.05
m/s²,1580268990000,0.17
m/s²,1580269005000,0.15
m/s²,1580269035000,0.18
m/s²,1580269050000,0.21
m/s²,1580269065000,0.15
m/s²,1580269095000,0.18
m/s²,1580269110000,0.17
m/s²,1580269125000,0.18
m/s²,1580269170000,0.24
m/s²,1580269200000,0.26
m/s²,1580269215000,0.34
m/s²,1580269230000,0.3
m/s²,1580269260000,0.28
m/s²,1580269275000,0.33
m/s²,1580269290000,0.24
m/s²,1580269320000,0.57
m/s²,1580269335000,0.64
m/s²,1580269350000,0.56
m/s²,1580269380000,0.31
m/s²,1580269395000,0.19
m/s²,1580269410000,0.09
m/s²,1580269440000,0.2
m/s²,1580269455000,0.18
m/s²,1580269500000,0.14
m/s²,1580269515000,0.18
m/s²,1580269560000,0.19
m/s²,1580269590000,0.08
m/s²,1580269635000,0.1
m/s²,1580269650000,0.05
m/s²,1580269710000,0.04
m/s²,1580269755000,0.05
m/s²,1580269770000,0.04
m/s²,1580269800000,0.05
m/s²,1580269815000,0.17
m/s²,1580269830000,0.15
m/s²,1580269860000,0.14
m/s²,1580269875000,0.18
m/s²,1580269890000,0.2
m/s²,1580269920000,0.23
m/s²,1580269935000,0.2
m/s²,1580269950000,0.25
m/s²,1580269980000,0.24
m/s²,1580269995000,0.23
m/s²,1580270010000,0.29
m/s²,1580270040000,0.25
m/s²,1580270070000,0.24
m/s²,1580270100000,0.26
